PIMS Tag Name,Source Tag Property ID,Source Tag Path
"D550_VPI615_2.STATE.PVFL",152840918674898980,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001293/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI615_2.PERCENTAGE _OPEN.PV",152840918674702370,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001293/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI615_2.POSITION_VALID.PVFL",152840918674571300,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001293/ValvePosition/properties/status/valid"
"D550_VPI615_3.STATE.PVFL",152840918648356900,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001294/ValvePosition/properties/status/logicalPosition/open"
"D550_VPI615_3.PERCENTAGE _OPEN.PV",152840918648160300,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001294/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VPI615_3.POSITION_VALID.PVFL",152840918648029220,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001294/ValvePosition/properties/status/valid"
"D550_VF622A5.STATE.PVFL",152840919005528100,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001295/ValvePosition/properties/status/logicalPosition/open"
"D550_VF622A5.PERCENTAGE _OPEN.PV",152840919005331500,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001295/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VF622A5.POSITION_VALID.PVFL",152840919005200420,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001295/ValvePosition/properties/status/valid"
"D550_VF622B5.STATE.PVFL",152840919016538140,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001296/ValvePosition/properties/status/logicalPosition/open"
"D550_VF622B5.PERCENTAGE _OPEN.PV",152840919016341540,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001296/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VF622B5.POSITION_VALID.PVFL",152840919016210460,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001296/ValvePosition/properties/status/valid"
"D550_VF622B6.STATE.PVFL",152840918971580450,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001297/ValvePosition/properties/status/logicalPosition/open"
"D550_VF622B6.PERCENTAGE _OPEN.PV",152840918971383840,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001297/ValvePosition/properties/status/logicalPosition/openPercentage"
"D550_VF622B6.POSITION_VALID.PVFL",152840918971252770,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001297/ValvePosition/properties/status/valid"
"D550_VHV623A3.STATE.PVFL",152840918650191900,"/System/Core/EA-02/MDI-P-EA-AVM-02/Aloxy-EA-02/data/basfbeant/70B3D57BB1001298/ValvePosition/properties/status/logicalPosition/open"
